"type","handle","platform","name","tier","followers","audience","contact","contactMethod","source","sourceAgency","er","posts","rate","avgViews","avgGmv","gpm","retention","fee","commission","paymentTerms","proofLink","adCode","notes","stage"
"ugc","@yahuiyh","Instagram","Ya Hui","Macro (Artiste)","208K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@hereisyingying","Instagram","Ying Ying","Macro (Artiste)","134K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@bonnieloo94","Instagram","Bonnie Loo","Macro (Artiste)","169K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@honglingg_","Instagram","Hong Ling","Macro (Artiste)","176K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@denisecamillia","Instagram","Denise Camillia Tan","Macro (Artiste)","107K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@fangrong","Instagram","Fang Rong","Micro (Artiste)","63K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@kunhua_c","Instagram","Kun Hua","Micro (Artiste)","30K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@meigui.k","Instagram","Gao Mei Gui","Micro (Artiste)","25.2K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@jningchan","Instagram","Chen Ning","Micro (Artiste)","42.6K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@joakimgomez","Instagram","Joakim Gomez","Micro (Artiste)","44K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@zatayayummy","Instagram","ZATA","Micro","13K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@jiahuisiau","Instagram","Jia Hui","Micro","25.9K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@veravivian","Instagram","Vivian Lai","Macro","133K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@azuragoh","Instagram","Azura Goh","Micro","10.2K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@mariam_masod","Instagram","Mariam Mas'od","Micro","10.3K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@hal_eemaa","Instagram","Haleema","Micro","10K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@yanniruth","Instagram","Yanni","","","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting. No follower count given in source.","sourced"
"ugc","@xiang_yun_","Instagram","Paige Xiang Yun","Macro (Artiste)","113K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@romeotan","Instagram","Romeo Tan","Macro (Artiste)","228K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@carriewst","Instagram","Carrie Wong 黄思恬","Macro (Artiste)","347K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet; listed rate unverified, confirm before quoting.","sourced"
"ugc","@munahbagharib","Instagram","Munah Bagharib","Micro","89.2K","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet. Handle and name appear in separate parts of the source and matched here on the handle text -- verify.","sourced"
"ugc","@djjaderasif","Instagram","","","","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet. Handle only -- no display name given in source.","sourced"
"ugc","@hannahalkaff","Instagram","","","","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet. Handle only -- no display name given in source.","sourced"
"ugc","@aglimpseofrach","Instagram","","","","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet. Handle only -- no display name given in source.","sourced"
"ugc","@charissahoo","Instagram","","","","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet. Handle only -- no display name given in source. A 'Charissa Goh' (12.9K followers) appears separately in the source with no handle attached; possibly the same person but not confirmed, so kept separate.","sourced"
"ugc","@melanieweee","Instagram","","","","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet. Handle only -- no display name given in source.","sourced"
"ugc","@vivivivi.en","Instagram","","","","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet. Handle only -- no display name given in source.","sourced"
"ugc","@fazura.p","Instagram","","","","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet. Handle only -- no display name given in source.","sourced"
"ugc","@xaveiryeung","Instagram","","","","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet. Handle only -- no display name given in source.","sourced"
"ugc","@giisellej","Instagram","","","","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet. Handle only -- no display name given in source.","sourced"
"ugc","@wordweed","Instagram","","","","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet. Handle only -- no display name given in source.","sourced"
"ugc","@moochihehe","Instagram","","","","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet. Handle only -- no display name given in source.","sourced"
"ugc","@trevtham","Instagram","","","","","","","https://docs.google.com/spreadsheets/d/1pNmd1wba9T3w0Onr8n3FFChbZSkC26s6CbOeIJaN4H8/edit?gid=1637552653","Artiste & Bloomrs","","","","","","","","","","","","","Bloomrs/Artiste rate sheet. Handle only -- no display name given in source.","sourced"
