type,handle,platform,name,tier,followers,audience,contact,contactMethod,source,sourceAgency,creatorClass,recentBrandPosts,er,posts,rate,avgViews,avgGmv,gpm,retention,fee,commission,paymentTerms,proofLink,adCode,notes,stage
ugc,@missonglai,Instagram,missonglai,Nano,9889,"KOL, Mum, Family, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@shirz.t,Instagram,Shirz,Micro,15k,"Beauty, Fashion, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: rate card received, $200 per IGR",declined
ugc,@misshippo,Instagram,Michelle,Micro,17k,"Mum, KOL, Family",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: KIV until 2026",contacted
ugc,@burnxice,Instagram,Bernice,Micro,27.4k,"Beauty, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@babykyliee,Instagram,Kylie,Micro,11.5k,"Beauty, UGC",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: approved
Outlet: 5 sessions / Tampines / Check with her on the targeted video submission timeline (draft & post)",negotiating
ugc,@sarxh.lim,Instagram,Sarah Lim,Micro,13k,"Beauty, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@Xiueyyy,Instagram,Jasmine,Nano,9.3k,"Fashion, Beauty",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: approved
Outlet: 5 sessions / Plaza Sing /",negotiating
ugc,@doujiang.youtiao,Instagram,Boonkikikiki,Macro,143.6k,"Beauty, Fashion, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@puckerandpout,Instagram,Charmaine,Micro,12k,"Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: approved
Outlet: 3 sessions / J8 / in Review",negotiating
ugc,@amieishungry,Instagram,Amie,Micro,13k,"Lifestyle, Beauty, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@onetwoqi,Instagram,Wanqi,Nano,2404,"Lifestyle, Beauty, UGC, Sports",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@iamtiffanie,Instagram,Tiffanie,Macro,234k,"Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,
ugc,@mayne.lim,Instagram,Mayne,Micro,53k,"UGC, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: worked with DR before",
ugc,@evonlotion,Instagram,Evon,Nano,6095,Lifestyle,,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: replied with rates $3,000 for 1 IGR",contacted
ugc,@mianbaobreadpan,Instagram,Steph,Nano,9003,"Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@chloeandchoo,Instagram,Chloe,Micro,74k,"Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,
ugc,@sallsphee,Instagram,Sally,Nano,7921,"UGC, Lifestyle, Fashion, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@mandalyntan,Instagram,Madalyn,Nano,6947,"UGC, Sports, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@becseu,Instagram,Rebecca,Micro,22k,"KOL, Beauty, Lifestyle, Family",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@ericalohh,Instagram,Erica,Micro,10k,"UGC, Fashion, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@simongirlllllll,Instagram,Chloe,Micro,16k,"KOL, Family, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@bellewithane_,Instagram,Belle,Nano,6.2k,"UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@junejellywelly,Instagram,June,Nano,2793,"UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@triciakohh,Instagram,Tricia,Nano,7241,"UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@candabanana,Instagram,Candice,Nano,7973,UGC,,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@jiaxianlee_,Instagram,Jiaxian,Nano,3438,UGC,,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@cheroroboo,Instagram,Cheryl,Nano,420,UGC,,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: Pending approval - loading $50 / unlimited",contacted
ugc,@jiaensia,Instagram,Jiaen,Nano,1640,UGC,,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@ca9560,Instagram,Charyn,Nano,4466,UGC,,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: Pending approval - loading $500 / year",contacted
ugc,@doublewks,Instagram,Jezlynne,Micro,94.1k,UGC,,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: KIV; pregnant",
ugc,@lydearlyy,Instagram,Lydia,Micro,11.1k,UGC,,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@kimbolitham,Instagram,Kimberly,Macro,110k,"UGC, KOL",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@goodmoreningg,Instagram,Ning,Nano,5266,UGC,,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@vchongxo,Instagram,Vanessa,Nano,3331,UGC,,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@leonaayeo,Instagram,Leona,Nano,7451,UGC,,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@charrlsy,Instagram,Charmaine,Micro,38.1k,UGC,,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@kerrynleemx,Instagram,Kerryn,Micro,91k,KOL,,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: replied with rates - $4,500 per reel, loading fee $500 per month",contacted
ugc,@vantanjy,Instagram,Vanessa Tan,Micro,14k,UGC,,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@eunicelqy,Instagram,Eunice,Nano,1143,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@clarissehoon,Instagram,Clarisse,Nano,2471,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@squidddooo,Instagram,Cherrell,Nano,2688,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: replied with loading rates 1 month complimentary, 6 month period $450",contacted
ugc,@itsminniiee,Instagram,Minnie,Nano,1916,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@cyndisxy,Instagram,Cyndi,Nano,9745,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,
ugc,@callista.shannonn,Instagram,Calista Shannon,Micro,15000,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,
ugc,@codaythebay,Instagram,Codey,Nano,7149,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,
ugc,@carcinojane,Instagram,Jane,Micro,13000,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,
ugc,@tr.ivia,Instagram,Tricia,Micro,43000,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,
ugc,@naploes,Instagram,Natalie,Micro,36000,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,
ugc,@blairiies,Instagram,Blair,Nano,6860,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,
ugc,@cheongyeehui,Instagram,Yee Hui,Nano,1125,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,
ugc,@val.nsm,Instagram,Valerie,Micro,82000,"UGC, Sports, Lifestyle",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: 3 Dec: reached out & replied, contact via WA
Outlet: rate card: IG reels $3500-5000, stories $600, static post $1000-2500; loading fees 15%/1wk 30%/1mo",contacted
ugc,@cheryltaysg,Instagram,Cheryl Tay,Micro,82000,"KOL, Lifestyle, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@nicolechowww,Instagram,Nicole Chow,Nano,6882,"KOL, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,
ugc,@beverlyloh,Instagram,Beverly Loh,Macro,168k,"KOL, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: SK
Response: replied with rates, $5,500 IG reel, loading $500 per month",contacted
ugc,@natashatannnnn,Instagram,Natasha,Micro,12k,"UGC, Beauty, Lifestyle, Sports",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@valeriealysonn,Instagram,Valerie Alyson,Nano,8413,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@clairee.anastasia,Instagram,Claire,Nano,2086,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,declined
ugc,@cinddie,Instagram,Cinddie,Micro,14k,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: SK,contacted
ugc,@ugcwithemmasg,Instagram,Emma,Nano,1441,"Beauty, UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@tangmiaoling,Instagram,Miao Ling,Nano,8426,"Others, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: ongoing sponsorship",declined
ugc,@sherrainelaw,Instagram,Sherraine,Micro,11k,"UGC, Family, Mum",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,declined
ugc,@limkatrina,Instagram,Katrina,Micro,13k,"Lifestyle, UGC, Mum",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,declined
ugc,@doveria,Instagram,Adelyn,Micro,13k,"Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@princessezyt,Instagram,Erica,Micro,13k,"Family, Lifestyle, UGC, Mum",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@thewanderingshe,Instagram,She,Micro,15k,"Mum, UGC, Family",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@beatriceleesn,Instagram,Beatrice,Micro,15k,"Mum, Lifestyle, KOL, Family",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@cherriwong,Instagram,Cherri,Micro,18k,"Mum, KOL, Fashion, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@ezanetan,Instagram,Ezane,Micro,19k,"Lifestyle, Family, Mum, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@nicoweibin,Instagram,Weibin,Micro,19k,"Mum, Lifestyle, Others",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@vivsbeautynotes,Instagram,Vivien,Micro,21k,"Beauty, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,declined
ugc,@higisselle,Instagram,Giselle,Micro,21.7k,"KOL, Family, Mum, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@paperger,Instagram,Huirong,Micro,24k,"Beauty, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@aizaiaisteady,Instagram,Charlene,Micro,25k,"Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: asked before in 2023, rejected",declined
ugc,@baking_taitai,Instagram,Cheryl,Micro,25k,"Lifestyle, UGC, Others",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: food blogger, KIV",
ugc,@ripplesism,Instagram,Ripple,Micro,25.4k,"Beauty, Lifestyle, Mum, Family",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: asked her for dorra",contacted
ugc,@seraph_sun,Instagram,Seraph,Micro,26k,"Mum, UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@louisayeo_,Instagram,Louisa,Micro,29k,"UGC, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@blingyi,Instagram,Blingyi,Micro,37k,"KOL, Fashion, Lifestyle",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: KIV for Jan 2026",
ugc,@rozpho,Instagram,Roz,Micro,38k,"Mum, KOL, Family",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@patdevogue,Instagram,Patricia,Micro,47k,"Lifestyle, Others",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: KIV for Jan 2026 / least priority",
ugc,@maddybreteche,Instagram,Maddy,Micro,50k,"Beauty, Fashion, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: KIV for Jan 2026",
ugc,@yitinggoyt,Instagram,Yiting,Micro,53k,"KOL, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: KIV for Jan 2026",
ugc,@mickeyhuang0126,Instagram,Mickey,Micro,55k,"KOL, Mum, Lifestyle",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: approved for 10 sessions, booked for 29 Oct 1pm",negotiating
ugc,@you_yi,Instagram,You Yi,Micro,58k,"KOL, Lifestyle",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: KIV for Jan 2026",
ugc,@gengenygen,Instagram,Genevive,Micro,78k,"Beauty, Fashion, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@dianaserlye,Instagram,Diana,Macro,118k,"Beauty, Fashion, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@amandersings,Instagram,Amander,Macro,133k,"Mum, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@midiforreal,Instagram,Midi,Macro,472k,"Mum, KOL, Lifestyle",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: KIV for Jan 2026",
ugc,@alex.d.libin,Instagram,Alex,Macro,985k,"Sports, Others",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@chloeabeth454,Instagram,Chloe,Mega,1.2m,"Beauty, Fashion, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: KIV for Jan 2026",
ugc,@karaysabella,Instagram,Karaysabella,Macro,241.9k,"Beauty, Fashion, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@sarahxmiracle,Instagram,Sarah,Micro,81.5k,"Lifestyle, Family, Mum, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@yuqingleme,Instagram,Jaylyn,Nano,4529,"Beauty, Family, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@tanishataan,Instagram,Tanisha,Nano,7063,"KOL, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@winnexong,Instagram,Winnie,Micro,10k,"Fashion, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@myjream,Instagram,Jeanne,Micro,12.4k,"Mum, Family, UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@bryanahuang,Instagram,Bryana,Micro,13k,"UGC, Beauty, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@seraphinayong,Instagram,Seraphina,Micro,15.6k,"KOL, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@sengsengg,Instagram,Athena,Micro,18k,"Fashion, Beauty, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@thatszina,Instagram,Zina,Micro,64k,"KOL, Lifestyle, Fashion",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@patrinechoo,Instagram,Patrine,Macro,156k,"Beauty, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@tbfhamanda,Instagram,Amanda,Micro,49k,"Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@blessedseb,Instagram,Sebrina,Nano,2527,Sports,,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@charlotteseet,Instagram,Charlotte,Micro,81k,"Beauty, Fashion, KOL",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@sophiewillocq,Instagram,Sophie,Micro,87k,"Beauty, Fashion, KOL, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@iamrachelwan,Instagram,Rachel Wan,Micro,73.9k,"Beauty, Lifestyle, Fashion",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@toh.wanyi,Instagram,Wanyi,Micro,14k,"Fashion, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@zoeraymondtan,Instagram,Zoe Raymond Tan,Micro,87k,"Family, Mum, KOL",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@caitofalltraits,Instagram,Caitanya Tan,Macro,238k,"Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@omgxiaoqian,Instagram,Xiaoqian,Macro,173k,"KOL, Lifestyle, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@cherylpang_,Instagram,Cheryl,Micro,24k,"UGC, Lifestyle, Family, Mum",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: worked with her before in 2024 DR",contacted
ugc,@minicolee,Instagram,Nicole,Micro,28.3k,"UGC, Lifestyle, Fashion",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@stellafanss,Instagram,Stella,Micro,38k,"UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: replied with rates, $600 per reel",declined
ugc,@xdaphnewee,Instagram,Daphne,Micro,30k,"Lifestyle, Beauty, Fashion, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@nicole.choo,Instagram,Nicole Choo,Macro,155k,,,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: With her Mum - KIV 2026",
ugc,@sparrowonweed,Instagram,Audrey,Micro,82.7k,,,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: KIV 2026",
ugc,@paperkitties,Instagram,Paperkitties,Micro,19.2k,"Beauty, Fashion, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@yenser,Instagram,Yenser,Micro,16.9k,,,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@zhiyantay,Instagram,Zhiyan,Macro,102k,,,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@cherb8ar,Instagram,Cheryl,Macro,129k,,,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: KIV, she owns a skin care product brand",
ugc,@chowjiahui,Instagram,Jiahui,Micro,94k,,,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@brendatjy,Instagram,Brenda,Micro,33.4k,,,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@elizabethboon,Instagram,Elizabeth,Macro,332k,,,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@dewychoo,Instagram,Dewy,Macro,186k,"Beauty, Lifestyle, Fashion, KOL",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@gillianyoong,Instagram,Gillian,Micro,45k,,,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@ochiebon,Instagram,Ochie,Nano,5182,,,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@jasminetan_,Instagram,Jasmine,Nano,8491,,,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@keishasarah,Instagram,Keisha,Micro,72k,"Beauty, Lifestyle, KOL, Fashion",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@ohyeahuilii,Instagram,Hui Li,Micro,33.3k,"Beauty, KOL, Fashion, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@iamggy,Instagram,Georgina,Micro,25k,,,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,
ugc,@eexuanng,Instagram,Ee Xuan,Micro,44k,"Beauty, Lifestyle, Mum, KOL",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: replied with rates, $3k IGR",contacted
ugc,@society.os,Instagram,Samantha Goh,Micro,38k,"Beauty, Fashion, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: replied with rates, $800 / IGR, 1 session",declined
ugc,@jxxbingjie,Instagram,Jordus Bingjie,Micro,18k,"Beauty, Fashion, Lifestyle, KOL",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@the.nana.thing,Instagram,Anna Thng,Micro,24k,"Beauty, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@jac_ussy,Instagram,Jackie,Nano,3491,"UGC, Beauty",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@joycelynthiang,Instagram,Joycelyn Thiang,Micro,31k,UGC,,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@p3ckyz,Instagram,Felicia,Nano,5836,"Mum, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@naofromjapan,Instagram,Nao,Micro,30k,"Mum, UGC",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: replied with rates, $600/ IGR, 3 sessions",declined
ugc,@wendisy,Instagram,Wendy,Micro,12k,"Mum, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@mirchelley,Instagram,Michelle Tan,Macro,166k,"KOL, Beauty, Lifestyle, Fashion, Sports",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@xoxochermaine,Instagram,Chermaine,Nano,8419,"Sports, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@shu.oo,Instagram,Shu,Nano,5216,"UGC, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@lyqian,Instagram,Yunqian,Micro,23800,"UGC, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@kennababe_,Instagram,Kenna,Micro,18k,"UGC, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: paid collabs only, pending rate card",declined
ugc,@woanying24,Instagram,Woanying,Micro,11k,"UGC, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@kopitiam.auntea,Instagram,Kopitiam Auntea,Nano,981,"UGC, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@dowhatafter50,Instagram,Camie,Nano,8787,"UGC, Lifestyle, Beauty, Fashion, Mum",,,,,Creator,,,,,,,,,,,,,,"Outreach batch: VFL
Response: Loading fees $300 / 6 months; ok to do one month free",contacted
ugc,@ahappymum,Instagram,Summer,Nano,8601,"Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@familystaysg,Instagram,Ruby,Micro,28k,"UGC, Lifestyle, Beauty, Fashion, Mum",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@missyqiqi,Instagram,Xiaoqi,Micro,22k,"UGC, Lifestyle, Beauty, Fashion, Mum",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
ugc,@xojoycechewxo,Instagram,Joyce Chew,Micro,12k,"UGC, Lifestyle, Beauty, Fashion, Mum",,,,,Creator,,,,,,,,,,,,,,Outreach batch: VFL,contacted
